step total_loss
0 21.086627
60 23.548977
121 26.602847
181 31.300801
241 36.683488
301 41.057952
362 40.950135
422 40.669130
482 40.275717
543 40.710077
603 40.427584
663 39.001391
723 37.340709
784 36.617102
844 36.508814
904 35.521924
965 34.505374
1025 33.784874
1085 33.109228
1146 32.329659
1206 31.361506
1266 30.667018
1326 30.212453
1387 30.056979
1447 29.424101
1507 28.810574
1568 28.229652
1628 27.777195
1688 27.481553
1748 27.301001
1809 26.954710
1869 25.984883
1929 25.432676
1990 25.037159
2050 24.146355
2110 22.265676
2170 20.917090
2231 20.369257
2291 19.482202
2351 19.136912
2412 18.875975
2472 18.931922
2532 18.518409
2592 19.380694
2653 19.917888
2713 20.502754
2773 19.299802
2834 18.326049
2894 17.199531
2954 16.205043
3014 14.983156
3075 13.923017
3135 13.632149
3195 15.024484
3256 19.790469
3316 20.126953
3376 17.715648
3437 15.546456
3497 15.859523
3557 13.838053
3617 13.072334
3678 12.930569
3738 15.162021
3798 19.054510
3859 26.215611
3919 27.489776
3979 27.226180
4039 31.763654
4100 31.079795
4160 27.006675
4220 23.609215
4281 25.363197
4341 27.257245
4401 25.094890
4461 21.071681
4522 21.916365
4582 22.939071
4642 29.340981
4703 26.503885
4763 18.813238
4823 15.571820
4883 14.493451
4944 15.236755
5004 14.306932
5064 18.301746
5125 12.545737
5185 8.684832
5245 7.945697
5305 13.071831
5366 19.528042
5426 24.845632
5486 21.969122
5547 17.958884
5607 13.715257
5667 10.093953
5728 11.281640
5788 8.763839
5848 15.615969
5908 19.108468
5969 14.566233
6029 11.937211
6089 15.572844
6150 17.205493
6210 8.892648
6270 4.050695
6330 5.973326
6391 7.280720
6451 6.083622
6511 6.500096
6572 14.614292
6632 14.471396
6692 12.949829
6752 11.985583
6813 8.574405
6873 3.293338
6933 1.881372
6994 4.003653
7054 15.852685
7114 33.709034
7174 42.663844
7235 46.542909
7295 38.863233
7355 31.476963
7416 23.353270
7476 13.532479
7536 7.758080
7596 4.130918
7657 3.696610
7717 6.097422
7777 5.028978
7838 1.896664
7898 1.231684
7958 3.955978
8019 3.904229
8079 0.372113
8139 0.316573
8199 0.272220
8260 0.227384
8320 0.189960
8380 2.091769
8441 2.071429
8501 1.523489
8561 0.099431
8621 0.082839
8682 2.079063
8742 2.070660
8802 0.607994
8863 0.733805
8923 2.093916
8983 2.087813
9043 0.024370
9104 0.016938
9164 1.589043
9224 2.111986
9285 2.112388
9345 0.007480
9405 0.003613
9465 0.000931
9526 -0.001913
9586 -0.002772
9646 -0.002024
9707 -0.004800
9767 -0.004743
9827 -0.003822
9887 -0.004833
9948 -0.005888
10008 -0.006406
10068 -0.006509
10129 -0.006546
10189 -0.006442
10249 -0.005571
10310 -0.005064
10370 -0.005174
10430 -0.005675
10490 -0.005990
10551 -0.003956
10611 -0.004678
10671 -0.005195
10732 -0.005438
10792 -0.004642
10852 -0.005307
10912 -0.004821
10973 -0.005185
11033 -0.005408
11093 -0.004558
11154 -0.005833
11214 -0.004689
11274 -0.005025
11334 -0.005797
11395 -0.005027
11455 -0.005370
11515 -0.005364
11576 -0.004607
11636 -0.004890
11696 -0.005150
11756 -0.005426
11817 -0.003467
11877 -0.006192
11937 -0.005188
11998 -0.005949
12058 -0.004052
12118 -0.003494
12178 -0.005487
12239 -0.005774
12299 -0.003871
12359 -0.006120
12420 -0.004079
12480 -0.002641
12540 -0.004288
12601 -0.004310
12661 -0.004963
12721 -0.004469
12781 -0.003896
12842 -0.005809
12902 -0.004138
12962 -0.004065
13023 -0.003962
13083 -0.002852
13143 -0.003359
13203 -0.004964
13264 -0.004759
13324 -0.004023
13384 -0.004678
13445 -0.002888
13505 -0.004704
13565 -0.003745
13625 -0.003933
13686 -0.003954
13746 -0.004768
13806 -0.003715
13867 -0.002994
13927 -0.005619
13987 -0.003237
14047 -0.004070
14108 -0.003902
14168 -0.005207
14228 -0.001962
14289 -0.001318
14349 -0.003138
14409 -0.002880
14469 -0.003070
14530 -0.003647
14590 -0.004538
14650 -0.003218
14711 -0.003036
14771 -0.003682
14831 -0.004591
14892 -0.002898
14952 -0.003069
15012 -0.003663
15072 -0.002565
15133 -0.002339
15193 -0.003845
15253 -0.003130
15314 -0.003935
15374 -0.002361
15434 -0.004500
15494 -0.002350
15555 -0.001239
15615 0.007707
